date,neighborhood,center_name,attendance_count
2023-02-07,Polish Hill,West Penn Community Center,23
2023-02-07,Polish Hill,West Penn Community Center,75
2023-02-07,Polish Hill,West Penn Community Center,140
2023-02-06,Polish Hill,West Penn Community Center,47
2023-02-06,Polish Hill,West Penn Community Center,13
2023-02-06,Polish Hill,West Penn Community Center,24
2023-02-06,Polish Hill,West Penn Community Center,48
2023-02-06,Polish Hill,West Penn Community Center,54
2023-02-06,Polish Hill,West Penn Community Center,13
2023-02-06,Polish Hill,West Penn Community Center,56
2023-02-06,Polish Hill,West Penn Community Center,17
2023-02-06,Polish Hill,West Penn Community Center,112
2023-02-04,Polish Hill,West Penn Community Center,50
2023-02-04,Polish Hill,West Penn Community Center,91
2023-02-03,Polish Hill,West Penn Community Center,57
2023-02-03,Polish Hill,West Penn Community Center,15
2023-02-03,Polish Hill,West Penn Community Center,16
2023-02-03,Polish Hill,West Penn Community Center,50
2023-02-03,Polish Hill,West Penn Community Center,15
2023-02-03,Polish Hill,West Penn Community Center,54
2023-02-03,Polish Hill,West Penn Community Center,58
2023-02-03,Polish Hill,West Penn Community Center,12
2023-02-03,Polish Hill,West Penn Community Center,200
2023-02-02,Polish Hill,West Penn Community Center,55
2023-02-02,Polish Hill,West Penn Community Center,26
2023-02-02,Polish Hill,West Penn Community Center,48
2023-02-02,Polish Hill,West Penn Community Center,50
2023-02-02,Polish Hill,West Penn Community Center,35
2023-02-02,Polish Hill,West Penn Community Center,14
2023-02-02,Polish Hill,West Penn Community Center,12
2023-02-02,Polish Hill,West Penn Community Center,40
2023-02-02,Polish Hill,West Penn Community Center,190
2023-02-01,Polish Hill,West Penn Community Center,55
2023-02-01,Polish Hill,West Penn Community Center,7
2023-02-01,Polish Hill,West Penn Community Center,21
2023-02-01,Polish Hill,West Penn Community Center,35
2023-02-01,Polish Hill,West Penn Community Center,13
2023-02-01,Polish Hill,West Penn Community Center,46
2023-02-01,Polish Hill,West Penn Community Center,82
2023-02-01,Polish Hill,West Penn Community Center,19
2023-02-01,Polish Hill,West Penn Community Center,48
2023-01-31,Polish Hill,West Penn Community Center,45
2023-01-31,Polish Hill,West Penn Community Center,51
2023-01-31,Polish Hill,West Penn Community Center,10
2023-01-31,Polish Hill,West Penn Community Center,43
2023-01-31,Polish Hill,West Penn Community Center,42
2023-01-31,Polish Hill,West Penn Community Center,12
2023-01-31,Polish Hill,West Penn Community Center,14
2023-01-31,Polish Hill,West Penn Community Center,44
2023-01-31,Polish Hill,West Penn Community Center,151
2023-01-30,Polish Hill,West Penn Community Center,31
2023-01-30,Polish Hill,West Penn Community Center,7
2023-01-30,Polish Hill,West Penn Community Center,12
2023-01-30,Polish Hill,West Penn Community Center,37
2023-01-30,Polish Hill,West Penn Community Center,20
2023-01-30,Polish Hill,West Penn Community Center,73
2023-01-30,Polish Hill,West Penn Community Center,45
2023-01-30,Polish Hill,West Penn Community Center,21
2023-01-30,Polish Hill,West Penn Community Center,96
2023-01-28,Polish Hill,West Penn Community Center,5
2023-01-28,Polish Hill,West Penn Community Center,107
2023-01-27,Polish Hill,West Penn Community Center,72
2023-01-27,Polish Hill,West Penn Community Center,23
2023-01-27,Polish Hill,West Penn Community Center,47
2023-01-27,Polish Hill,West Penn Community Center,70
2023-01-27,Polish Hill,West Penn Community Center,9
2023-01-27,Polish Hill,West Penn Community Center,26
2023-01-27,Polish Hill,West Penn Community Center,21
2023-01-27,Polish Hill,West Penn Community Center,82
2023-01-26,Polish Hill,West Penn Community Center,77
2023-01-26,Polish Hill,West Penn Community Center,11
2023-01-26,Polish Hill,West Penn Community Center,6
2023-01-26,Polish Hill,West Penn Community Center,59
2023-01-26,Polish Hill,West Penn Community Center,11
2023-01-26,Polish Hill,West Penn Community Center,50
2023-01-26,Polish Hill,West Penn Community Center,19
2023-01-26,Polish Hill,West Penn Community Center,24
2023-01-26,Polish Hill,West Penn Community Center,101
2023-01-25,Polish Hill,West Penn Community Center,46
2023-01-25,Polish Hill,West Penn Community Center,2
2023-01-25,Polish Hill,West Penn Community Center,38
2023-01-25,Polish Hill,West Penn Community Center,19
2023-01-25,Polish Hill,West Penn Community Center,29
2023-01-25,Polish Hill,West Penn Community Center,13
2023-01-25,Polish Hill,West Penn Community Center,35
2023-01-25,Polish Hill,West Penn Community Center,11
2023-01-25,Polish Hill,West Penn Community Center,40
2023-01-24,Polish Hill,West Penn Community Center,51
2023-01-24,Polish Hill,West Penn Community Center,5
2023-01-24,Polish Hill,West Penn Community Center,4
2023-01-24,Polish Hill,West Penn Community Center,45
2023-01-24,Polish Hill,West Penn Community Center,16
2023-01-24,Polish Hill,West Penn Community Center,64
2023-01-24,Polish Hill,West Penn Community Center,18
2023-01-24,Polish Hill,West Penn Community Center,28
2023-01-24,Polish Hill,West Penn Community Center,137
2023-01-23,Polish Hill,West Penn Community Center,51
2023-01-23,Polish Hill,West Penn Community Center,1
2023-01-23,Polish Hill,West Penn Community Center,9
2023-01-23,Polish Hill,West Penn Community Center,27
2023-01-23,Polish Hill,West Penn Community Center,45
2023-01-23,Polish Hill,West Penn Community Center,9
2023-01-23,Polish Hill,West Penn Community Center,21
2023-01-23,Polish Hill,West Penn Community Center,204
2023-01-21,Polish Hill,West Penn Community Center,3
2023-01-21,Polish Hill,West Penn Community Center,85
2023-01-20,Polish Hill,West Penn Community Center,46
2023-01-20,Polish Hill,West Penn Community Center,18
2023-01-20,Polish Hill,West Penn Community Center,2
2023-01-20,Polish Hill,West Penn Community Center,52
2023-01-20,Polish Hill,West Penn Community Center,8
2023-01-20,Polish Hill,West Penn Community Center,51
2023-01-20,Polish Hill,West Penn Community Center,14
2023-01-20,Polish Hill,West Penn Community Center,14
2023-01-20,Polish Hill,West Penn Community Center,72
2023-01-19,Polish Hill,West Penn Community Center,63
2023-01-19,Polish Hill,West Penn Community Center,3
2023-01-19,Polish Hill,West Penn Community Center,14
2023-01-19,Polish Hill,West Penn Community Center,51
2023-01-19,Polish Hill,West Penn Community Center,47
2023-01-19,Polish Hill,West Penn Community Center,9
2023-01-19,Polish Hill,West Penn Community Center,16
2023-01-19,Polish Hill,West Penn Community Center,33
2023-01-19,Polish Hill,West Penn Community Center,137
2023-01-18,Polish Hill,West Penn Community Center,45
2023-01-18,Polish Hill,West Penn Community Center,56
2023-01-18,Polish Hill,West Penn Community Center,7
2023-01-18,Polish Hill,West Penn Community Center,22
2023-01-18,Polish Hill,West Penn Community Center,16
2023-01-18,Polish Hill,West Penn Community Center,47
2023-01-18,Polish Hill,West Penn Community Center,44
2023-01-18,Polish Hill,West Penn Community Center,15
2023-01-18,Polish Hill,West Penn Community Center,56
2023-01-17,Polish Hill,West Penn Community Center,44
2023-01-17,Polish Hill,West Penn Community Center,7
2023-01-17,Polish Hill,West Penn Community Center,14
2023-01-17,Polish Hill,West Penn Community Center,41
2023-01-17,Polish Hill,West Penn Community Center,50
2023-01-17,Polish Hill,West Penn Community Center,12
2023-01-17,Polish Hill,West Penn Community Center,18
2023-01-17,Polish Hill,West Penn Community Center,32
2023-01-17,Polish Hill,West Penn Community Center,153
2023-01-14,Polish Hill,West Penn Community Center,33
2023-01-13,Polish Hill,West Penn Community Center,31
2023-01-13,Polish Hill,West Penn Community Center,27
2023-01-13,Polish Hill,West Penn Community Center,18
2023-01-13,Polish Hill,West Penn Community Center,66
2023-01-13,Polish Hill,West Penn Community Center,21
2023-01-13,Polish Hill,West Penn Community Center,11
2023-01-13,Polish Hill,West Penn Community Center,57
2023-01-12,Polish Hill,West Penn Community Center,39
2023-01-12,Polish Hill,West Penn Community Center,7
2023-01-12,Polish Hill,West Penn Community Center,47
2023-01-12,Polish Hill,West Penn Community Center,44
2023-01-12,Polish Hill,West Penn Community Center,18
2023-01-12,Polish Hill,West Penn Community Center,12
2023-01-12,Polish Hill,West Penn Community Center,20
2023-01-12,Polish Hill,West Penn Community Center,121
2023-01-11,Polish Hill,West Penn Community Center,45
2023-01-11,Polish Hill,West Penn Community Center,34
2023-01-11,Polish Hill,West Penn Community Center,31
